P5,P10,P25,P50,P75,P90,P95
81.783,82.989,85.003,87.241,89.478,91.492,92.698
81.959,83.169,85.19,87.436,89.682,91.703,92.912
82.134,83.348,85.376,87.63,89.884,91.912,93.126
82.308,83.526,85.562,87.823,90.085,92.12,93.339
82.481,83.703,85.746,88.015,90.285,92.327,93.55
82.653,83.879,85.929,88.207,90.484,92.534,93.76
82.823,84.054,86.111,88.397,90.682,92.739,93.97
82.993,84.228,86.292,88.586,90.879,92.943,94.178
83.162,84.402,86.473,88.774,91.075,93.146,94.385
83.33,84.574,86.652,88.961,91.27,93.348,94.591
83.498,84.746,86.831,89.147,91.463,93.548,94.795
83.665,84.916,87.008,89.332,91.656,93.748,94.999
83.83,85.086,87.184,89.516,91.848,93.946,95.202
83.994,85.254,87.36,89.699,92.039,94.144,95.405
84.157,85.421,87.534,89.881,92.229,94.341,95.606
84.319,85.588,87.707,90.063,92.418,94.537,95.806
84.482,85.754,87.88,90.243,92.605,94.731,96.004
84.642,85.919,88.052,90.422,92.792,94.925,96.202
84.802,86.083,88.223,90.6,92.978,95.118,96.399
84.962,86.246,88.393,90.778,93.163,95.309,96.594
85.12,86.408,88.562,90.954,93.347,95.5,96.789
85.277,86.569,88.73,91.13,93.53,95.691,96.983
85.434,86.731,88.897,91.305,93.712,95.879,97.175
85.589,86.89,89.064,91.479,93.894,96.067,97.368
85.745,87.05,89.23,91.652,94.074,96.254,97.558
85.899,87.208,89.394,91.824,94.254,96.441,97.749
86.052,87.365,89.558,91.996,94.433,96.626,97.939
86.205,87.522,89.722,92.166,94.611,96.811,98.127
86.358,87.679,89.885,92.336,94.788,96.994,98.314
86.509,87.833,90.046,92.505,94.964,97.177,98.502
86.66,87.989,90.208,92.674,95.14,97.359,98.687
86.81,88.142,90.368,92.842,95.315,97.542,98.874
86.96,88.296,90.528,93.009,95.489,97.722,99.058
87.109,88.449,90.688,93.175,95.663,97.902,99.241
87.257,88.601,90.846,93.341,95.836,98.082,99.426
87.405,88.753,91.004,93.506,96.008,98.26,99.608
87.552,88.904,91.162,93.671,96.18,98.438,99.789
87.7,89.055,91.319,93.835,96.35,98.615,99.97
87.844,89.204,91.475,93.998,96.521,98.792,100.152
87.99,89.353,91.631,94.161,96.691,98.968,100.331
88.136,89.502,91.786,94.323,96.86,99.144,100.51
88.28,89.651,91.94,94.485,97.029,99.318,100.689
88.425,89.799,92.095,94.646,97.196,99.492,100.866
88.568,89.946,92.248,94.806,97.364,99.666,101.044
88.712,90.093,92.401,94.966,97.531,99.839,101.22
88.854,90.239,92.554,95.125,97.697,100.011,101.397
88.996,90.385,92.706,95.284,97.863,100.184,101.572
89.138,90.531,92.857,95.443,98.028,100.355,101.747
89.279,90.676,93.009,95.601,98.193,100.526,101.922
89.42,90.82,93.159,95.758,98.357,100.696,102.096
89.56,90.964,93.309,95.915,98.521,100.866,102.27
89.7,91.107,93.459,96.071,98.684,101.036,102.443
89.839,91.25,93.608,96.227,98.847,101.205,102.615
89.978,91.393,93.756,96.383,99.009,101.373,102.788
90.116,91.535,93.905,96.538,99.171,101.541,102.959
90.256,91.677,94.053,96.692,99.331,101.707,103.129
90.393,91.818,94.2,96.846,99.492,101.874,103.299
90.53,91.959,94.347,97,99.653,102.04,103.469
90.666,92.099,94.493,97.153,99.812,102.206,103.639
90.802,92.239,94.639,97.305,99.972,102.372,103.808
90.939,92.379,94.785,97.457,100.13,102.536,103.975
91.074,92.518,94.929,97.609,100.288,102.7,104.143
91.209,92.656,95.074,97.76,100.446,102.864,104.311
91.345,92.795,95.218,97.911,100.603,103.027,104.477
91.479,92.932,95.362,98.061,100.76,103.19,104.644
91.612,93.069,95.505,98.211,100.917,103.352,104.81
91.746,93.207,95.648,98.36,101.072,103.513,104.974
91.879,93.343,95.79,98.509,101.228,103.675,105.139
92.012,93.48,95.933,98.658,101.382,103.835,105.303
92.144,93.615,96.074,98.805,101.537,103.996,105.467
92.275,93.75,96.214,98.953,101.691,104.156,105.631
92.407,93.885,96.355,99.1,101.844,104.315,105.793
92.537,94.019,96.495,99.246,101.998,104.474,105.956
92.668,94.154,96.635,99.393,102.15,104.632,106.117
92.798,94.286,96.774,99.538,102.302,104.79,106.279
92.928,94.42,96.913,99.683,102.453,104.947,106.439
93.056,94.552,97.051,99.828,102.605,105.104,106.6
93.186,94.685,97.19,99.973,102.755,105.26,106.759
93.315,94.817,97.328,100.116,102.905,105.415,106.918
93.442,94.948,97.464,100.26,103.055,105.571,107.077
93.571,95.08,97.601,100.403,103.204,105.726,107.235
93.697,95.21,97.737,100.545,103.354,105.881,107.394
93.824,95.34,97.873,100.688,103.502,106.035,107.551
93.951,95.47,98.009,100.829,103.649,106.188,107.707
94.076,95.599,98.143,100.97,103.797,106.342,107.864
94.203,95.728,98.278,101.111,103.944,106.494,108.02
94.327,95.856,98.412,101.252,104.091,106.647,108.177
94.452,95.985,98.546,101.392,104.237,106.798,108.331
94.577,96.113,98.68,101.531,104.383,106.949,108.485
94.702,96.241,98.813,101.67,104.528,107.1,108.639
94.824,96.367,98.945,101.809,104.673,107.251,108.794
94.948,96.494,99.077,101.948,104.818,107.401,108.947
95.072,96.621,99.209,102.086,104.962,107.55,109.099
95.193,96.746,99.34,102.223,105.106,107.7,109.253
95.316,96.872,99.472,102.36,105.249,107.849,109.405
95.438,96.997,99.603,102.497,105.392,107.997,109.556
95.56,97.123,99.733,102.634,105.534,108.145,109.707
95.682,97.248,99.864,102.77,105.676,108.292,109.858
95.802,97.371,99.993,102.906,105.819,108.441,110.01
95.923,97.495,100.122,103.041,105.96,108.588,110.16
96.044,97.619,100.252,103.177,106.101,108.734,110.309
96.164,97.743,100.38,103.311,106.242,108.88,110.459
96.284,97.866,100.509,103.446,106.383,109.026,110.608
96.404,97.989,100.637,103.58,106.523,109.171,110.756
96.522,98.11,100.765,103.714,106.663,109.317,110.906
96.641,98.232,100.892,103.847,106.802,109.462,111.054
96.76,98.355,101.02,103.981,106.942,109.607,111.202
96.878,98.476,101.147,104.114,107.08,109.751,111.349
96.996,98.598,101.273,104.246,107.219,109.895,111.496
97.114,98.719,101.4,104.378,107.357,110.038,111.642
97.232,98.84,101.526,104.51,107.495,110.181,111.789
97.349,98.96,101.652,104.642,107.633,110.324,111.935
97.466,99.08,101.777,104.774,107.77,110.467,112.081
97.583,99.2,101.902,104.905,107.907,110.609,112.226
97.7,99.32,102.027,105.035,108.043,110.751,112.371
97.816,99.439,102.152,105.166,108.18,110.893,112.516
97.932,99.558,102.276,105.296,108.316,111.034,112.661
98.048,99.677,102.401,105.426,108.452,111.175,112.805
98.163,99.796,102.524,105.556,108.587,111.316,112.949
98.278,99.914,102.648,105.685,108.723,111.456,113.092
98.393,100.032,102.771,105.814,108.858,111.597,113.236
98.507,100.15,102.894,105.943,108.992,111.737,113.379
98.622,100.267,103.017,106.072,109.127,111.876,113.522
98.736,100.384,103.139,106.2,109.261,112.016,113.664
98.85,100.501,103.261,106.328,109.395,112.155,113.806
98.963,100.618,103.383,106.456,109.528,112.293,113.948
